Date_Key,Date,Day,Week_No,Month,Month_No,Quarter,Year
20050420,20-04-2005,Wednesday,17,Apr,4,2,2005
20050421,21-04-2005,Thursday,17,Apr,4,2,2005
20050422,22-04-2005,Friday,17,Apr,4,2,2005
20050423,23-04-2005,Saturday,17,Apr,4,2,2005
20050424,24-04-2005,Sunday,18,Apr,4,2,2005
20050425,25-04-2005,Monday,18,Apr,4,2,2005
20050426,26-04-2005,Tuesday,18,Apr,4,2,2005
20050427,27-04-2005,Wednesday,18,Apr,4,2,2005
20050428,28-04-2005,Thursday,18,Apr,4,2,2005
20050429,29-04-2005,Friday,18,Apr,4,2,2005
20050430,30-04-2005,Saturday,18,Apr,4,2,2005
20050501,01-05-2005,Sunday,19,May,5,2,2005
20050502,02-05-2005,Monday,19,May,5,2,2005
20050503,03-05-2005,Tuesday,19,May,5,2,2005
20050504,04-05-2005,Wednesday,19,May,5,2,2005
20050505,05-05-2005,Thursday,19,May,5,2,2005
20050506,06-05-2005,Friday,19,May,5,2,2005
20050507,07-05-2005,Saturday,19,May,5,2,2005
20050508,08-05-2005,Sunday,20,May,5,2,2005
20050509,09-05-2005,Monday,20,May,5,2,2005
20050510,10-05-2005,Tuesday,20,May,5,2,2005
20050511,11-05-2005,Wednesday,20,May,5,2,2005
20050512,12-05-2005,Thursday,20,May,5,2,2005
20050513,13-05-2005,Friday,20,May,5,2,2005
20050514,14-05-2005,Saturday,20,May,5,2,2005
20050515,15-05-2005,Sunday,21,May,5,2,2005
20050516,16-05-2005,Monday,21,May,5,2,2005
20050517,17-05-2005,Tuesday,21,May,5,2,2005
20050518,18-05-2005,Wednesday,21,May,5,2,2005
20050519,19-05-2005,Thursday,21,May,5,2,2005
20050520,20-05-2005,Friday,21,May,5,2,2005
20050521,21-05-2005,Saturday,21,May,5,2,2005
20050522,22-05-2005,Sunday,22,May,5,2,2005
20050523,23-05-2005,Monday,22,May,5,2,2005
20050524,24-05-2005,Tuesday,22,May,5,2,2005
20050525,25-05-2005,Wednesday,22,May,5,2,2005
20050526,26-05-2005,Thursday,22,May,5,2,2005
20050527,27-05-2005,Friday,22,May,5,2,2005
20050528,28-05-2005,Saturday,22,May,5,2,2005
20050529,29-05-2005,Sunday,23,May,5,2,2005
20050530,30-05-2005,Monday,23,May,5,2,2005
20050531,31-05-2005,Tuesday,23,May,5,2,2005
20050601,01-06-2005,Wednesday,23,Jun,6,2,2005
20050602,02-06-2005,Thursday,23,Jun,6,2,2005
20050603,03-06-2005,Friday,23,Jun,6,2,2005
20050604,04-06-2005,Saturday,23,Jun,6,2,2005
20050605,05-06-2005,Sunday,24,Jun,6,2,2005
20050606,06-06-2005,Monday,24,Jun,6,2,2005
20050607,07-06-2005,Tuesday,24,Jun,6,2,2005
20050608,08-06-2005,Wednesday,24,Jun,6,2,2005
20050609,09-06-2005,Thursday,24,Jun,6,2,2005
20050610,10-06-2005,Friday,24,Jun,6,2,2005
20050611,11-06-2005,Saturday,24,Jun,6,2,2005
20050612,12-06-2005,Sunday,25,Jun,6,2,2005
20050613,13-06-2005,Monday,25,Jun,6,2,2005
20050614,14-06-2005,Tuesday,25,Jun,6,2,2005
20050615,15-06-2005,Wednesday,25,Jun,6,2,2005
20050616,16-06-2005,Thursday,25,Jun,6,2,2005
20050617,17-06-2005,Friday,25,Jun,6,2,2005
20050618,18-06-2005,Saturday,25,Jun,6,2,2005
20050619,19-06-2005,Sunday,26,Jun,6,2,2005
20050620,20-06-2005,Monday,26,Jun,6,2,2005
